Title,Company,description,onsite_remote,salary,Location,criteria,datetime,Apply
Data Analyst,NNC,"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions. Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements.Responsibilities Interpret data, analyze results using statistical techniques and provide ongoing reports Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality Acquire data from primary or secondary data sources and maintain databases/data systems Identify, analyze, and interpret trends or patterns in complex data sets Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems Work with management to prioritize business and information needs Locate and define new process improvement opportunities  Acquire data from primary or secondary data sources and maintain databases/data systems Identify, analyze, and interpret trends or patterns in complex data sets Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems Work with management to prioritize business and information needs Locate and define new process improvement opportunities  Identify, analyze, and interpret trends or patterns in complex data sets Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems Work with management to prioritize business and information needs Locate and define new process improvement opportunities  Work with management to prioritize business and information needs Locate and define new process improvement opportunities  Locate and define new process improvement opportunities Requirements BS in Mathematics, Economics, Computer Science, Information Management or Statistics  Adept at queries, report writing and presenting findings BS in Mathematics, Economics, Computer Science, Information Management or Statistics  Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy Adept at queries, report writing and presenting findings BS in Mathematics, Economics, Computer Science, Information Management or Statistics BenefitsWe are NNC! A family of over 60 committed creatives, all honed in on delivering excellence for our clients and partners. We built a reputation for dynamic, effective campaigns that connect our clients with their audiences.We communicate, we strategies, we improve - but most importantly, we do it together!We are looking for Data Analyst, if you fit the below, please apply! What will you do? Job description What can we offer you?A competitive salary Semi-flexible office hours Rewards and Recognition A top-shelf Medical Health Insurance with full medication coverage Agile work environment and cross-functional teams Diverse colleague group of 16+ nationalities Training and development budget for personal, and professional growth Modern, human-centered office with recreational spaces A kitted-out kitchen with a comfortable dining space and a reliable coffee machine Birthday Cakes! Selection processDepending on the competence and the position you are interviewing for, the hiring process can include these steps:We'll give you a quick call as an initial screening within 7 working days from the day you apply, if your application is shortlistedNext is either a virtual or physical interview to get to know you better If the interview goes well, we'll send you a position-specific assessment If we like it, you'll receive a job offer within a few days.",onsite,NaN,"Cairo, Cairo, Egypt","[{'مستوى الأقدمية': 'غير مطبق'}, {'نوع التوظيف': 'دوام كامل'}, {'المهام الوظيفية': 'محلل'}, {'المجالات': 'التكنولوجيا والمعلومات والإنترنت'}]",2022-11-18,https://eg.linkedin.com/jobs/view/data-analyst-at-nnc-3367161967?refId=cV28BA9TOZuhWBdcTj%2Fd5A%3D%3D&trackingId=Qq4DiR7rFBVii35bfzqsVQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Watu Credit,"WATU is a focus-driven, customer-centric company that believes everyone deserves the opportunity to be an entrepreneur and achieve their ambitious goals in life. As Africa’s fastest-growing Asset Finance company, we see the continent’s bright and prosperous future and want to be part of making it a reality. Our vision is to provide asset financing for motorcycles and three-wheelers to those who understand that when provided with the right tools, they can fulfill their dreams and the needs of their families and community. We Empower Entrepreneurs by providing the means needed to move and improve lives.We are looking for doers who are ready to roll up their sleeves and, with their hard work and dedication, create the impact needed in our communities. Do you want to become a part of our ambitious and creative team of smart individuals and make a difference and you have what it takes? Then read on and apply for this exciting opportunity!Our business is growing rapidly with more than 150,000 customers in Kenya. In this context, we are seeking to onboard an enthusiastic, experienced and technical Data Analyst to join our Data Analytics team.Job Purpose:The role holder will be responsible for creating and maintaining reports and dashboards and in leveraging the data to provide business solutions. He/she will support with general data handling requests including the maintenance and improvement of data ingestion and transformation back-end processes. Competence with Structured Queried Language (SQL) in addition to a strong ability to understand data are critical.Key Responsibilities:Utilize business intelligence tools to visualize data and create reports for key stakeholders. Exploit Looker Studio to create data visualizations and dashboards on various company KPI’S.Partner with relevant stakeholders to build actionable plans and analysis that address key business questions and inform business strategy through data analysis and statistics.Conduct periodical audits on data quality and continuously review various data sets proactively flagging any omission and/or errors in line with company policies.Recommend changes in data models and structures where necessary. Analyze and interpret patterns and trends in complex data sets, using statistical tools, with an aim of promoting effective diagnosis and predictions. Collaborate with relevant teams in identifying data processing improvement opportunities, proposing system modifications and in devising data governance strategies.Support in creating and maintaining back-end data ingestion and transformation processes.Knowledge, Skills, and Experience required:Technical2 years+ of Data Analysis experienceProficiency with advanced SQL is a mustExperience with a Business Intelligence tool is a mustStrong Excel and Google Sheets knowledgeUnderstanding of relational DB theoryUnderstanding of data preparation and data acquisitionThe following technical knowledge would be added advantageR, PythonGoogle Cloud solutions with a focus on Big QueryExperience with non-relational DB or Big dataGit, dbt, AirflowCompetencies and AttributesAbility to work independently and proactivelyAttention to detailsSelf-starter, target orientedTeam player and good communicatorWhat we offer:Be a part of international, dynamic and driven team that has set their aspirations high and work hard to achieve thoseOpportunities to learn and grow together with usCompetitive compensation packageHealth benefitsDo you see yourself being part of the WATU team? Then please apply with your CV and a cover letter, we are looking forward to working with you.",onsite,NaN,"Nairobi County, Kenya","[{'Seniority level': 'Associate'}, {'Employment type': 'Full-time'}, {'Job function': 'Analyst'}, {'Industries': 'Financial Services'}]",2022-11-01,https://ke.linkedin.com/jobs/view/data-analyst-at-watu-credit-3332732366?refId=cV28BA9TOZuhWBdcTj%2Fd5A%3D%3D&trackingId=aSqBG5US%2B32KOIujedjJpA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,OLX Egypt,"DescriptionOLX Egypt is the leading marketplaces for selling and buying online in the region. Our aim is to upgrade people’s lives by facilitating deals and identifying attractive opportunities for both individuals and businesses. Our goal is to strengthen local economies, empower small businesses, and help everyone in making smarter choices for themselves, the market, and the planet.As part of EMPG, we are alongside some of the strongest classifieds brands in the market. With a collective strength of 10 brands, we have more than 200 million monthly users that trust in our dedication to providing them with the best platform for their needs.As a Data Analyst, you will be in a central position as you will be evangelizing data and our methodologies to other functional analysts and other stakeholders in the company. You will have close interaction with teams in marketing, sales, finance, and product. You will work in a high pace environment that is professional, international and entrepreneurial.What You'll Be DoingAccessing data, constructing and manipulating large datasets to support planned analyses, using SQL, Python and similar toolsDesigning and developing BI dashboards using Sisense or similar tools (Tableau, PowerBI, DataStudio) for various organizational metrics and indicators using best practices and industry standards in finance, sales, inventory, and other areasHelp with defining KPIs metrics and drive the data governance through standardization and communicationCreate the documentation and presentation for the management under the supervision of more senior staffDevelop analysis and reporting capabilities; monitor performance and quality control plans to identify improvements.Adapt at queries, report writing and presenting findingsResearch and validation of entity data using appropriate internal and external data sourcesLiaising and analysis across projects within the Reference Data environmentAnalysis, specification, testing and implementation of interfaces, workflow solutions, and reference data solutions – An example would be regression testing systems ahead of upgradesParticipate in the design, implementation and interpretation of experiments/trials for continuous refinement of on-going strategiesResponsible for data quality and timely delivery of reports that make common business senseParticipate in Analytics & Reporting trainings to evangelize data across the organizationRequirementsBachelor’s degree in statistics, mathematics, computer science, or related field. Masters is a plus.2+ year work experience in analytics, having closely worked with product and commercials in an internet/e-commerce companyExperience in e-commerce, internet and/or digital mediaExtensive experience with SQL with proficiency in Microsoft ExcelExperience working with BI tools (e.g. Looker, Periscope, Tableau, etc.)Skills in Python, R or similar tools are a big plusKnowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc).Good analytical skills with a demonstrated ability to translate data and information into actionable insights and business recommendationsWritten and verbal proficiency in EnglishProactive and independent of seeking information, solving conceptual problems and delivering high quality results in challenging situationsPassion for data and metricsHands-on attitude and the ability to thrive in a fast-paced environmentHighly motivated, professional, creative, proactive and able to work independently and cooperatively in a diverse groupAnalytical thinking; Conceptual thinking; Detail-oriented; Business Acumen.Strong curiosity and strive for continuous learningThrive in a fast-paced, innovative environment with good attention to detailLiving the team values: Simpler. Better. Faster.BenefitsA fast paced, high performing team.Comprehensive Health InsuranceLife InsuranceRewards & RecognitionsLearning & Development opportunities#olxegypt",onsite,NaN,"Cairo, Cairo, Egypt","[{'مستوى الأقدمية': 'مستوى المبتدئين'}, {'نوع التوظيف': 'دوام كامل'}, {'المهام الوظيفية': 'تكنولوجيا المعلومات'}, {'المجالات': 'التكنولوجيا والمعلومات والإنترنت'}]",2022-11-18,https://eg.linkedin.com/jobs/view/data-analyst-at-olx-egypt-3359847414?refId=cV28BA9TOZuhWBdcTj%2Fd5A%3D%3D&trackingId=s%2FANiRtWg0Lj%2BLdE4XjnUQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Watu Credit,"Role: Data AnalystReporting to: Data Analytics ManagerLocation: NairobiWATU is a focus-driven, customer-centric company that believes everyone deserves the opportunity to be an entrepreneur and achieve their ambitious goals in life. As Africa’s fastest-growing Asset Finance company, we see the continent’s bright and prosperous future and want to be part of making it a reality. Our vision is to provide asset financing for motorcycles and three-wheelers to those who understand that when provided with the right tools, they can fulfill their dreams and the needs of their families and community. We Empower Entrepreneurs by providing the means needed to move and improve lives.We are looking for doers who are ready to roll up their sleeves and, with their hard work and dedication, create the impact needed in our communities. Do you want to become a part of our ambitious and creative team of smart individuals and make a difference and you have what it takes? Then read on and apply for this exciting opportunity!Our business is growing rapidly with more than 150,000 customers in Kenya. In this context, we are seeking to onboard an enthusiastic, experienced and technical Data Analyst to join our Data Analytics team.Job Purpose:The role holder will be responsible for creating and maintaining reports and dashboards and in leveraging the data to provide business solutions. He/she will support with general data handling requests including the maintenance and improvement of data ingestion and transformation back-end processes. Competence with Structured Queried Language (SQL) in addition to a strong ability to understand data are critical.Key Responsibilities:Utilize business intelligence tools to visualize data and create reports for key stakeholders. Exploit Looker Studio to create data visualizations and dashboards on various company KPI’S.Partner with relevant stakeholders to build actionable plans and analysis that address key business questions and inform business strategy through data analysis and statistics.Conduct periodical audits on data quality and continuously review various data sets proactively flagging any omission and/or errors in line with company policies.Recommend changes in data models and structures where necessary. Analyze and interpret patterns and trends in complex data sets, using statistical tools, with an aim of promoting effective diagnosis and predictions. Collaborate with relevant teams in identifying data processing improvement opportunities, proposing system modifications and in devising data governance strategies.Support in creating and maintaining back-end data ingestion and transformation processes.Knowledge, Skills, and Experience required:Technical2 years+ of Data Analysis experienceProficiency with advanced SQL is a mustExperience with a Business Intelligence tool is a mustStrong Excel and Google Sheets knowledgeUnderstanding of relational DB theoryUnderstanding of data preparation and data acquisitionThe following technical knowledge would be added advantageR, PythonGoogle Cloud solutions with a focus on Big QueryExperience with non-relational DB or Big dataGit, dbt, AirflowCompetencies and AttributesAbility to work independently and proactivelyAttention to detailsSelf-starter, target orientedTeam player and good communicatorWhat we offer:Be a part of international, dynamic and driven team that has set their aspirations high and work hard to achieve thoseOpportunities to learn and grow together with usCompetitive compensation packageHealth benefitsDo you see yourself being part of the WATU team? Then please apply with your CV and a cover letter, we are looking forward to working with you.Powered by JazzHRdTSmm5kfl4",onsite,NaN,"Nairobi, Nairobi County, Kenya","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Financial Services'}]",2022-11-01,https://ke.linkedin.com/jobs/view/data-analyst-at-watu-credit-3339392827?refId=cV28BA9TOZuhWBdcTj%2Fd5A%3D%3D&trackingId=eYg5Y%2BU79B7tAxKLDDKLdA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Tata Consultancy Services,"About Tata Consultancy ServicesTata Consultancy Services (TCS) is an IT services, consulting and business solutions organization that has been partnering with many of the world’s largest businesses in their transformation journeys for over 50 years. TCS offers a consulting-led, cognitive powered, integrated portfolio of business, technology and engineering services and solutions. This is delivered through its unique Location Independent Agile™ delivery model, recognized as a benchmark of excellence in software development.A part of the Tata group, India's largest multinational business group, TCS has over 616,171 of the world’s best-trained consultants with 157 nationalities in 53 countries. For more information, visit www.tcs.com and follow TCS news at @TCS_News.Job Description :Location : Sandton 6 month contract Understanding internal lineage of data sets through close collaborations with technology and business intelligence teamsMining large structured and unstructured datasets for a multitude of companies with different data structures Ownership of data structures and relevant business logic by setting standards and vision for normalized data setsCreation and methods for development of scalable and re-usable data marts while understanding key business usage. This includes relevant testing structures to ensure high quality. Support the design of data systems to ensure data analytics takes place in an efficient, scalable, and reproducible way Usage of data to find new insights to inform healthcare strategies and develop product – there will be a broad range of products to understand from clinical, operations, financial, fraud, digital, sales and marketing, wellness, etc. Performing basic data analytics ad hoc to extract core data insights Specification of data reports to derive business insights that will meaningfully change the environmentPresent data and model findings in a way that provides actionable insightsConnecting with a multitude of local and international stakeholders to understand the data, systems, and analytical processes in a healthcare context Improve processes and data outcomes where opportunities ariseTechnical understanding :Proficient in SQL, python, and advanced excel Proficient experience of the data lifecycle in at least 2 out of the following areas of expertise from clinical, operations, financial, fraud, digital, sales and marketing, wellness, or any relevant dataset in healthcare Proficient experience in generation of Datamart’s for healthcare Working experience in health outcome indices and metrics and measures Knowledge of databases and structures, governance and meta data standards including data architecture principals, ETL/ELT, etc. Knowledge of patient health management, provider profiling, healthcare reporting, and other key healthcare technologies etc. is advantageousKnowledge of clinical tools including coders, groupers, and classifications is advantageous Knowledge of data science in the healthcare space is advantageousKnowledge of healthcare benefit pricing, product pricing and other actuarial calculations (reserving, risk rating, etc.) is advantageousExperience in Microsoft Azure preferred (Databricks, Synapse, Data Factory, etc.) https://ibegin.tcs.com/iBegin/privacy-notice",onsite,NaN,"City of Johannesburg, Gauteng, South Africa","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Contract'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting and Wellness and Fitness Services'}]",2022-10-27,https://za.linkedin.com/jobs/view/data-analyst-at-tata-consultancy-services-3327162312?refId=cV28BA9TOZuhWBdcTj%2Fd5A%3D%3D&trackingId=HXPMZCWFicImYqCNpBsrvA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Distinct outsourcing,"The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business users.  ResponsibilitiesUnderstand the day-to-day issues that our business faces, which can be better understood with data Compile and analyze data related to business' issues Develop clear visualizations to convey complicated data in a straightforward fashionQualificationsBachelor's or Master's degree in Statistics or Applied Mathematics or equivalent experience 1 - 2 years' Data Analysis experience Proficient in SQL",onsite,NaN,"Surulere, Lagos State, Nigeria",[{'Employment type': 'Full-time'}],2022-11-20,https://ng.linkedin.com/jobs/view/data-analyst-at-distinct-outsourcing-3361694964?refId=cV28BA9TOZuhWBdcTj%2Fd5A%3D%3D&trackingId=jsrHIWZD%2BH0dVU2QhsbYsw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Aramex,"Job description:Purpose of the Job:Using a variety of data analysis and visualization techniques to run deep analysis and provide insights for our products and support functions. Job Responsibilities :  Collaborate with the business owners to identify and understand the business reporting requirements. Translate business requirements into technical requirements. Supporting Data Engineers on planning and developing new data models that allow user-friendly, customized reporting Contribute to the integration and improvement of relevant data management systems and processes Designing and implementing our BI solution (Tableau) and ensuring that all data protection requirements are met Supporting various business units by giving them access to BI solutions tailored for their needs Creating customized dashboards that tell compelling stories and facilitate the decision-making process. Driving the right strategy to continuously increase dashboard performance Automate manual reporting processes. Handling various ad-hoc reporting requests from management, finance and operations as well as assisting with regular standard reporting and data maintenance tasks Identify data quality issues and report any deficiencies.  Job Requirements (Experience and education) :Education:Bsc. In MIS, BIS, BIT or Engineering 2-5 years professional experience in the field of Business Analysis side “Preferably in logistics or eCommerce” Skills & Certification: Tableau Certification “Must have” Familiarity with SQL and databases; SQL and other relational databases Ability to write proper Business Requirements A proven track record of successfully implementing and administrating BI reports using Tableau Good understanding of data structures and data management Strong analytical thinking skills The ability to bring new ideas in a solution-oriented way Having a structured way of working to be able to multitask without losing track of several projects.",onsite,NaN,"Giza, Al Jizah, Egypt","[{'مستوى الأقدمية': 'مستوى متوسط الأقدمية'}, {'نوع التوظيف': 'دوام كامل'}, {'المهام الوظيفية': 'تطوير الأعمال التجارية و تكنولوجيا المعلومات'}, {'المجالات': 'النقل واللوجستيات وسلسلة التوريد والتخزين'}]",2022-11-10,https://eg.linkedin.com/jobs/view/data-analyst-at-aramex-3350328590?refId=cV28BA9TOZuhWBdcTj%2Fd5A%3D%3D&trackingId=n6HywclozBLeayr%2BjEOYdg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst - Junior,SOS International (SOSi),"This position is contingent upon a contract award ***SOSi is seeking a Data Analyst - Junior supporting the United States Army Intelligence and Security Command (INSCOM) to provide the Army Intelligence Enterprise Global Information Services (AIEGIS) Data Science Support. This position will support INSCOM HQ and affiliated units both in the Continental United States (CONUS) and Outside the Continental United States (OCONUS)Position is available in multiple CONUS & OCONUS locations with up to 25% travel.Army Intelligence is modernizing and transforming to support Multi-Domain Operations (MDO) objectives required for large-scale combat operations (LSCO) to enable commanders to see farther, understand sooner, and share wider than ever before. Our team will provide support for the digital strategy to consolidate separate staff-managed digital services under an Army Intelligence Enterprise (AIE) service delivery activity. As necessary, we administer products and services required by AIEGIS to provide value for the Army Intelligence mission by applying data science approaches to intelligence problems to support commander decisions.Apply statistics, machine learning and analytic approaches to answer key intelligence questions, producing results and re-usable products that provide real value to Intelligence Analysts. Work with analysts to interpret analytic results and refine analysis as needed. Apply machine learning techniques to identify and transform data features, find hidden patterns and trends, build and optimize classifiers, create automated anomaly detection systems, and automate steps of the intelligence process. Evaluate statistical models to determine the validity of analyses, implement evaluated models into production by collaborating with software developers, periodically re-evaluate and refine machine learning models being used in production. Coordinate between Intelligence Analysts and Data Scientists to refine and implement models and monitor outcomes. Work with Data Scientists to develop processes and tools to monitor and analyze model performance and data accuracy to ensure the model deployment and maintenance is taken into consideration for the lifecycle of the model.Communicate results and ideas to key decision makers, analysts and other stakeholders and shall provide information regarding dataset applicability to the stakeholder’s mission and for the intelligence community. Collaborate with Intelligence Analysts to understand needs and devise possible solutions. Document all processes, models and activities by developing, documents, and implement a configuration management plan for data sets to ensure that the application will be able to obtain an authority to operate (ATO). This plan shall be used to control changes due to stakeholder’s intelligence functional requirements. Keep up-to-date with latest data science tradecraft and technology. Curate and collect the data from a variety of traditional and non-traditional sources extract data from sources, transform and integrate data in line with existing data, and load data into data stores for access by others.Active in scope TS/SCI clearance with the ability to obtain a CI polygraphBS in Data Science, Statistics, Applied Math, or related discipline with a minimum 1 year of experience.OR, AA in Data Science, Statistics, Applied Math, or related discipline with 3 years of experience.Documented proficiency with R or Python, and SQL to manipulate data and draw insights from large and small data sets.Documented experience implementing a variety of supervised and unsupervised machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and knowledge of their real-world advantages/drawbacks.Documented experience implementing statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and applications.Documented experience visualizing/presenting data for stakeholders.Documented experience with MS Office tools including Excel, PowerPoint, and Word.Documented experience with AWS, in particular products related to analytics, compute, database, developer tools, and machine learning.Skilled with data retrieval and storage, visualization and warehousing, and extract-transform-load (ETL) processes.Knowledge of database solutions including SQL, NoSQL (e.g. MongoDB) and graph (e.g. Neo4j).Knowledge of data visualization tools, such as D3.js, ggplot, Bokeh, etc.Ability to translate an intelligence problem into a Data Science problem, and to work with the Intelligence Analysts and ACE Chief to refine understanding of the problem.Comfortable working in a dynamic environment with several ongoing concurrent projects; able to multitask, prioritize, and manage time effectively.Excellent written and verbal communication skills; good interpersonal skills and communication with all levels of leadership.Driven to learn and master new technologies and techniques; desire to maintain currency on latest industry trends including completing additional training; able to articulate trends and potential clearly and confidently.Creative problem solver who thrives when presented with a challenge; able to analyze problems and strategize for better solutions; strong problem solving skills with an emphasis on production for re-use.Goal-oriented, encouraging to team and staff; comfortable as a team-player, leader and mentor.Five years intelligence analysis experience is desired (MOS 35/350 series or other DoD/IC equivalent)Fluency in a foreign language is desirable, but not requiredFast-paced, deadline-driven environmentMust be comfortable working in a multi-cultural environmentSome evening, weekend, or shift work could be requiredSome travel may be requiredSOSi is an equal employment opportunity employer and affirmative action employer. All interested individuals will receive consideration and will not be discriminated against on the basis of race, color, religion, sex, national origin, disability, age, sexual orientation, gender identity, genetic information, or protected veteran status. SOSi takes affirmative action in support of its policy to advance diversity and es affirmative action in support of its policy to advance diversity and inclusion of individuals who are minorities, women, protected veterans, and individuals with disabilities.",onsite,NaN,"Nzalae/ Nzawa locations, Kitui County, Kenya","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Defense and Space Manufacturing'}]",2022-10-24,https://ke.linkedin.com/jobs/view/data-analyst-junior-at-sos-international-sosi-3365064466?refId=cV28BA9TOZuhWBdcTj%2Fd5A%3D%3D&trackingId=4diJMDiS1vPsbMkQjty%2Bxg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,axis,"About AxisWe believe that financial services should be more accessible, simple and fun. That's why we started Axis - an app that empowers consumers, solopreneurs, and small businesses with the digital financial tools they need to reach their potential. Join us if you want to be part of a team that obsesses day in and day out about building financial products that will have a real impact on the lives of millions of people. Overview Of The RoleWe are looking for a Data Analyst to interpret marketing data and analyze results. As a Data Analyst, you will be a key player shaping the future of financial servicesWhat You'll Be DoingInterpreting marketing data, analyzing results using statistical techniques and providing ongoing reportsDeveloping & implementing databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and qualityAcquiring data from primary and secondary data sources and maintaining databases/data systemsIdentifying, analyzing, and interpreting trends or patterns in complex data sets Filtering and 'cleaning' data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems Working with management to prioritize business and information needs Locating and defining new process improvement opportunities Creating clear measurement systems to demonstrate the impact of your work and your contribution towards wider growth goalsRequirements 1-3 years of relevant experience in data analysisStrong knowledge and experience with creating funnels and tables with business metrics, including tracking the acquisition funnel and keeping track engagement/retention metrics  Experience working with databases (i.e. SQL, Python etc.)Proficiency at data visualization tools (i.e. Tableau, Looker, PowerBI) Experience working with cross-functional teams (i.e. Product, Marketing, Sales,Operations)Strong analytical and reporting skills Good knowledge of the competitive space and willing to learn more Comfortable working in a scrappy & ambiguous startup environment where things can change quickly",onsite,NaN,"Cairo, Cairo, Egypt","[{'مستوى الأقدمية': 'مستوى المبتدئين'}, {'نوع التوظيف': 'دوام كامل'}, {'المهام الوظيفية': 'تكنولوجيا المعلومات'}, {'المجالات': 'الخدمات المالية'}]",2022-09-18,https://eg.linkedin.com/jobs/view/data-analyst-at-axis-3276745296?refId=cV28BA9TOZuhWBdcTj%2Fd5A%3D%3D&trackingId=xPcClalXAdgl3jmwDntRgQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,takealot.com,"takealot.com, a leading South African online retailer, is looking for a highly talented Data Analyst to join our team in Cape Town.We are a young, dynamic, hyper growth company looking for smart, creative, hard- working people with integrity to join us. We offer a market related, Total Remuneration Package which allows full flexibility according to your needs, a great work environment and a promise that you won't be bored as long as you are prepared for a challenge and want to build something great.Your responsibilities will include the following:Lead requirements elicitation workshops with stakeholders to define high level business requirements for operational reporting or to improve business performanceAssist stakeholders to prioritize the requirementsObtain sign-off on the specificationsMine data for insights, test and validate hypotheses about operational and customer behaviorInfluence the roadmap through presentation of data-based recommendationsDevelop operational reports and run reports to support measurement of key performance indicators. Prepare exception-based reporting and drive implementation of business improvement ideasValidate existing reports and data sets and resolves issues with reports and performance indicators as identifiedDevelop a clear understanding of the operational intricacies & behaviors and identify improvement opportunities / levers to improve key metricsCreate effective data visualizations to communicate insights and updates to the management and product team. Generate regular reports on operational performance and provide insights / recommendations to the businessAnalyse the success and effectiveness of process changesFacilitate the performance improvement of various teams within the business by identifying operational gaps. This must be performed through testing & analysis and recommendation of process changes. Attributes required:Solutions-oriented, can-do attitude and high energyStrong analytical and critical thinking, using data to inform decisionsAbility to identify areas of improvement in current processesAbility to use logic and common sense to arrive at conclusionsPassion for understanding ambiguous, complex problems and driving high quality, innovative, clean solutionsHighly structured thinker with strong attention to detailAbility to handle multiple competing priorities in a fast-paced environmentMust have exceptional communication skills to help deliver insights to diverse stakeholdersDetail oriented, outcome and process focusedWillingness to learn and personal desire to keep up to date with technology and processComfortable with change and excellent team playerQualifications and Experience:Bachelor's degree in Engineering, Information Systems, BCom Computer Science or similar degree with 3+ years experience in a Data, Engineering or Product Management role within a fast-paced, product-led, and growth-focused organisation, playing a key role in data gathering, data analysis and helping the team make data based decisions ORRelevant Higher Certificate & 6 Years experience in a Data, Engineering role within a fast-paced, product-led, and growth-focused organisation, playing a key role in data gathering, data analysis and helping the team make data based decisionsStrong hands-on experience with SQL, Google BigQuery, AWS, Google Data Studio, and PythonAutomation - Cron Scheduling (Custom or 3rd party software scheduling)High level of proficiency with MS Office packages with proven advanced proficiency in Excel / Google Sheets, Docs & SlidesExperience with large datasets and optimisation on digital platformsRetail or e-commerce and Supply Chain industry experience beneficialThe Environment:com employees are entrepreneurial and dynamic, smart, customer-centric, fun and have the shared ambition of takealot.com being the leading e-commerce company in Africa. We have fun, work hard, take ownership, work in teams to create solutions, and are always open to direct feedback/new ideas on where we can improve. We are short on ego and high on output. We are doers and not only thinkers, it's all in the execution after all. We love what we do and what we are creating. We seek to Employ an Extra Ordinary Mind whois forthright but respectfulis an expert at doing, who can not only design but also executeis analytical, able to use data to make decisionsis competitive, self-directed and strive to be the BEST (GREAT requires a lot of work and does not only happen during business hoursis passionate about the potential of e-commerce and delivering a world-class customer experienceis entrepreneurial, thrives under change and accepts it is a constant and always looks for solutions to do something better and fasteris able to think about problems from a business perspective using technical and product inputis curious and challenge the status quois innovative and enjoys iterationis collaborativewill be at the cutting edge of developing new concepts for takealot.com. thinks like an owner of the business. is SMART, has INTEGRITY and is HARDWORKINGIf you meet the above you are an Extraordinary Mind so come and join us!Takealot is an Equal Opportunity Employer. Applicants from the previously disadvantaged groups and people with disabilities will be given preference.",onsite,NaN,"Cape Town, Western Cape, South Africa","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Retail'}]",2022-10-22,https://za.linkedin.com/jobs/view/data-analyst-at-takealot-com-3358892630?refId=cV28BA9TOZuhWBdcTj%2Fd5A%3D%3D&trackingId=NTVGDXM6pmZLETGoMYW7pA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
