Title,Company,description,onsite_remote,salary,Location,criteria,datetime,Apply
Junior Data Analyst,Lorax Environmental Services Ltd.,"Lorax Environmental Services Ltd. is seeking a Junior Data Analyst to join our team at the Vancouver, BC office for a full-time position.The ideal candidate will have the followingAt a minimum, a technical diploma/certificate in Data Analytics or Data Science, or equivalent experienceExperience working with environmental analytical data, including water quality, geochemical, biological, and climate data setsExperience in database management and administration using an RDBMS such as MS Access or MySQLWorking knowledge of scripting languages such as Python, R or VBAAdvanced Microsoft Excel skillsWorking knowledge of data visualization software such as Power BI/Tableau or similar, Power Query, Excel Data Model, Sigmaplot, R, or PythonExcellent communication skills for interfacing with team members with diverse technical backgroundsKey responsibilities of the position Process and distill large datasets to be used as technical summaries and/or inputs to numerical simulation modelsAnalyze data and produce summaries for further interpretationCompare data against various regulatory criteriaApply new technologies to current processes for effective data managementDevelop and apply programmatic methods to analysis and visualizationVisualize data in various formats such as dashboards, plots, and chartsAdminister and update databases populated with multi-disciplinary environmental dataPerform Quality Assurance/Control on data and liaise with analytical labs, field staff and/or technical staff to resolve issuesAssist other team members as appropriate or directedAssets beneficial for this roleA Bachelor’s degree in environmental sciences or a related fieldEnvironmental consulting experienceBasic knowledge of ESRI ArcGIS or AutoCADWeb application development using JavaScript frameworks, ASP.NET or similar technologiesIT experience with basic networking, operating Microsoft Server 2019, ESET, Forticlient, Licensing server software,proficiency in Windows 11, Office 365 deployment and administrationLorax Environmental Services Ltd. is a privately-owned, environmental consulting company that has been providing leading-edge services to mining, hydropower, wind energy, oil and gas and government regulatory agencies globally for over 20 years.The Lorax team is comprised of scientists and engineers practicing in the fields of geochemistry, hydrology, climate science,surface water quality, hydrogeology, biological services and oceanography.Please apply by sending a cover letter and CV to careers@lorax.ca referencing job number 22-04 by no later than November 18th 2022. All candidates must be eligible to work in Canada and willing to work out of our Vancouver office.",onsite,NaN,"Vancouver, British Columbia, Canada",[{'Employment type': 'Full-time'}],2022-10-25,https://ca.linkedin.com/jobs/view/junior-data-analyst-at-lorax-environmental-services-ltd-3324967419?refId=JJp5OkmV6wEqXiig85BjoQ%3D%3D&trackingId=ojHC6zxGqFo96%2F%2BtjXV21Q%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Axonify,"Axonify is an intelligent workforce enablement solution that supports 3.5M frontline workers. We believe all frontline employees should be empowered with the tools, knowledge and support to be inspired to do great work every day.We offer a bite-sized learning experience, gamified training & reinforcement and a two-way, real-time communication solution, all in a personalized experience that fits seamlessly into the flow of work.The Data Analyst will partner with our product and development teams to deliver proactive insights and data products such as user-facing reports to help add value and enable data-informed decisions to the Axonify user-base and internal stakeholders.The things you’ll do:Build and maintain our user-facing reports to help Axonify customers gain insights into their user base and surface opportunities to help our customers grow their workforce.Partner with our product and dev teams to conduct product/feature analyses, ensure data schemas for new features will support future analytics and data product needs, experimentation (A/B testing) and build dashboards/visualizations to assess product health.Collaborate with various cross-functional stakeholders, including Product Managers, Engineers, Designers, UX Researchers, Data Engineers and Data Warehouse Engineers to address ad hoc data needs and work on projects related to organizing and analyzing data.Be an integral part of the Data Org, leveraging and contributing to the vibrant knowledge base, shared across a community of world-class data experts.And of course, other duties to support the Axonifam and further build your skillsThe things you bring:  Professional Experience. 1-2 years of experience in data analytics or related quantitative roles. Experience with dashboarding tools (e.g. Looker, Periscope (sisense)) is an asset.Technical Skills. Strong Proficiency with relational database (e.g., SQL) and statistical analysis/programming languages (e.g., R / Python)Knowledge. Demonstrated understanding of data warehousing concepts and how this applies to analytics and reports.Data Acumen. Solid foundation in statistics with proficiency in fundamental statistical techniques such as t-tests, linear regression, etc.Problem-solving Mindset. Demonstrated ability to take defined problems and solve them in a structured, hypothesis-driven, data-supported wayCommunication skills. Demonstrated ability to communicate and discuss complex topics with technical & non-technical audiencesWork location:You will have the flexibility to choose how you work - in office, virtually or a combination of both. You will be provided with the tools, resources and support to ensure success regardless of where you physically work.The things you’ll enjoy:An impactful product that gives back to the communities and frontline workers that support our everyday lives.People with great attitudes that lead to great results through our values of Collaborate, Be Bold and Get It Done.A diverse Axonifam that celebrates unique perspectives and experiences that add richness to our culture.Leaders that trust deeply who leverage our skills, adapt to us as individuals and encourage us to be our best selves.Flexibility and choice. Early riser? Great, we offer flexible work hours. Prefer to work from home and in the office? No problem, we operate on a hybrid model where you work in the location that supports your personal and professional life. Mac over PC? Take your pick because we want you to have the equipment that you are comfortable with. East or West coast? We have employees that span across Canada, the US and the UK. Eid or Christmas? Our Flexible Holiday Program supports you to take the days off that matter to you.Professional growth. We’re learning experts and our excitement goes beyond our product. Not only do we offer Axonifiers daily learning, continual growth and broad experiences, we also offer a Professional Growth Spending account to encourage more developmenteven outside of work hours..Wellbeing that supports our lives away from work. We love what we do, but we also love our lives away from Axonify and we encourage employees to enjoy their personal lives with generous vacation time, Axonify holidays, personal days, competitive benefits with a Wellness Spending Account, and in-house workshops such as yoga, financial planning or mental wellbeing and self-care.Ready to join the Axonifam? Here’s what’s next.We know that what you bring may not look exactly like what we have listed here. And that’s ok if you don’t check every box! If you check off more than a few - great! We’d welcome a chance to get to know what you can bring, how you can add to our culture, and hear your unique story.We believe our team’s unique life experiences, backgrounds, cultures, beliefs and abilities add richness to our culture and depth to our ideas. Our ongoing commitment to diversity and inclusion creates an environment that supports, empowers and delivers a sense of belonging for all members of the Axonifam. And while the journey is continuous—always learning and adapting—we know that when we help each other grow, we can achieve amazing things together.We want to remove barriers that may limit you from joining Axonify. Email us at accessibility@axonify.com to let us know how we can provide you with reasonable accommodations through our candidate journey",onsite,NaN,"Waterloo, Ontario, Canada","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Software Development'}]",2022-10-24,https://ca.linkedin.com/jobs/view/data-analyst-at-axonify-3324670516?refId=JJp5OkmV6wEqXiig85BjoQ%3D%3D&trackingId=xxf14%2FPHtF86E0clE0%2Fogg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Wood Mackenzie,"Company DescriptionWood Mackenzie is the global leader in data, analysis and consulting across the energy, chemicals, metals, mining, power and renewables sectors.Founded in 1973, our success has always been underpinned by the simple principle of providing trusted research and advice that makes a difference to our customers. Today we have over 2,000 customers ranging from the largest global energy companies and financial institutions to governments as well as smaller market specialists.Our teams are located around the world. This enables us to stay closely connected with customers and the markets and sectors we cover. Collectively this allows us to offer a compelling combination of global commodity analysis with detailed local market knowledge.We are committed to supporting our people to grow and thrive. We value different perspectives and aspire to create an inclusive environment that encourages diversity and fosters a sense of belonging. We are committed to creating a workplace that works for you and encourage everyone to get involved in our Wellness, Diversity and Inclusion, and Community Engagement initiatives. We actively support flexible working and are happy to consider alternative work patterns, taking into account your needs and the needs of the team or division that you are looking to join.Hear what our team has to say about working with us:https://www.woodmac.com/careers/our-people/We are proud to be a part of the Verisk family of companies!At the heart of what we do is help clients manage risk. Verisk (Nasdaq: VRSK) provides data and insights to our customers in insurance, energy and the financial services markets so they can make faster and more informed decisions.Our global team uses AI, machine learning, automation, and other emerging technologies to collect and analyze billions of records. We provide advanced decision-support to prevent credit, lending, and cyber risks. In addition, we monitor and advise companies on complex global matters such as climate change, catastrophes, and geopolitical issues.But why we do our work is what sets us apart. It stems from a commitment to making the world better, safer and stronger.It’s the reason Verisk is part of the UN Global Compact sustainability initiative. It’s why we made a commitment to balancing 100 percent of our carbon emissions. It’s the aim of our “returnship” program for experienced professionals rejoining the workforce after time away. And, it’s what drives our annual Innovation Day, where we identify our next first-to-market innovations to solve our customers’ problems.At its core, Verisk uses data to minimize risk and maximize value. But far bigger, is why we do what we do.At Verisk you can build an exciting career with meaningful work; create positive and lasting impact on business; and find the support, coaching, and training you need to advance your career. We have received the Great Place to Work® Certification for the fifth consecutive year. We’ve been recognized by Forbes as a World’s Best Employer and a Best Employer for Women, testaments to our culture of engagement and the value we place on an inclusive and diverse workforce. Verisk’s Statement on Racial Equity and Diversity supports our commitment to these values and affecting positive and lasting change in the communities where we live and work.Job DescriptionData is the foundation on which our high-value analytics and research is based. Ensuring its quality is a critical part of what we do. If your expertise is in working with numbers, building processes, problem solving and attention to detail, read on.We are looking for Data Analysts to support the ingestion, processing, management and quality control of our proprietary datasets. Working as part of a dynamic team, you will play a valuable part in the ongoing transformations to expand our data offerings, leading to higher-value analytics.Does your perfect day consist of analyzing complex information to find useful insights and connections? Do you like to slice-and-dice data to provide critical solutions that are useful to the company and its clients – or do you like to just do it for fun? If you have a strong desire to learn new tools and technologies to solve business problems, then we have the job for you.Job ResponsibilitiesYour focus will be on delivering value to our clients by enhancing the quality and coverage of our upstream datasets. You’ll be called on to implement processes that monitor data quality, and devise means to resolve identified issues. A background in well data will stand you in good stead for this. Strong technical skills will be required to support this work, as you’ll be one of the architects for production processes that directly impact our users.You’ll have opportunities to grow. As Wood Mackenzie cements its transition to the latest technologies, we will expand our dataset coverage and enhance our analytics. You will be called upon to support their development.You’ll need to be flexible and able to manage your time and workload, since priorities can change at short notice as business needs arise.The level of appointment regarding which band on the company banding structure will be dependent on your skills, experience and capabilities demonstrated at assessment prior to offer of employment.QualificationsAbout you and how you can excel in this roleIn ParticularYou will bring a combination of experience in data management and a strong foundation of technical skills that enable you to work with large and varied datasets.Experience with working on and resolving complex issues that require exceptional attention to detail.Experience in addressing data quality and mastering the key techniques of data profiling, data validation, data quality evaluation by leveraging software programing with open-source libraries.Experience in using modularized programing to implement/enhance complex systems of data management and logic handling in a repeatable and scalable manner; keen to eliminate inefficiencies.Working knowledge on supporting stakeholders through strong communication skills to understand needs and convey responses.Strong coding skills, with demonstrated use of Python. Also welcome: knowledge in Pyspark, Excel VBA and cloud technologies.Strong team working and communication skills.Knowledge of oil/gas industry and oil/gas datasets preferred.Minimum of bachelor's degree required in related field of study such as mathematics, engineering, computer science.Please submit your resume and cover letter, outlining the knowledge, skills and experience you have to make you a suitable candidate.Additional InformationVerisk Analytics has an amazing story to tell. In 2017, Forbes magazine named Verisk to its World’s Most Innovative Companies list for the third consecutive year and to its America’s Best Mid-Size Employers list. We also earned the Great Place to Work® Certification for the second consecutive year in recognition of our outstanding workplace culture.Verisk is a leading data analytics provider serving customers in insurance, natural resources, and financial services. We’ve been delivering data, analytics, and decision support services to our customers for more than 45 years, helping them protect people, property, and financial assets. At Verisk, you’ll be part of an organization that’s committed to serving the long-term interests of our stakeholders, including the communities where we operate.At Verisk, you can build an exciting career with meaningful work; create a positive and lasting impact on the business; and find the support, coaching, and training you need to advance your career. Our culture of innovation means your ideas on how to improve our business will be heard. As key contributors to our success, our team members enjoy working in a business-casual, collaborative environment that offers state-of-the-art resources, advanced technologies, and an excellent benefits package.Verisk Analytics is an equal opportunity employer.All members of the Verisk Analytics family of companies are equal opportunity employers. We consider all qualified applicants for employment without regard to race, religion, color, national origin, citizenship, sex, gender identity and/or expression, sexual orientation, veteran's status, age or disability.http://www.verisk.com/careers.htmlUnsolicited resumes sent to Verisk, including unsolicited resumes sent to a Verisk business mailing address, fax machine or email address, or directly to Verisk employees, will be considered Verisk property. Verisk will NOT pay a fee for any placement resulting from the receipt of an unsolicited resume.",onsite,NaN,"Calgary, Alberta, Canada","[{'Seniority level': 'Associate'}, {'Employment type': 'Full-time'}, {'Job function': 'Analyst'}, {'Industries': 'Information Services'}]",2022-11-18,https://ca.linkedin.com/jobs/view/data-analyst-at-wood-mackenzie-3271782079?refId=JJp5OkmV6wEqXiig85BjoQ%3D%3D&trackingId=efceqTqjTOUznApPDQuI%2Fg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,B3 Systems,"The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business users.  ResponsibilitiesUnderstand the day-to-day issues that our business faces, which can be better understood with data Compile and analyze data related to business' issues Develop clear visualizations to convey complicated data in a straightforward fashionQualificationsBachelor's or Master's degree in Statistics or Applied Mathematics or equivalent experience 1 - 2 years' Data Analysis experience Proficient in SQL",onsite,NaN,"Toronto, Ontario, Canada",[{'Employment type': 'Full-time'}],2022-11-18,https://ca.linkedin.com/jobs/view/data-analyst-at-b3-systems-3361794123?refId=JJp5OkmV6wEqXiig85BjoQ%3D%3D&trackingId=fUfF1aHaSIsRTz12W4ZSeA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Synechron,"Position : Data Modeler / Data AnalystLocation : Mississauga, ONExperience : 8+ YearsRequired Skills:-Data Analyst: Looking for Data Visualization/Conceptualization and interpretation of data We need someone to translate data into POC/Visualizations.",onsite,NaN,"Mississauga, Ontario, Canada","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering, Information Technology, and Consulting'}, {'Industries': 'Financial Services'}]",2022-08-12,https://ca.linkedin.com/jobs/view/data-analyst-at-synechron-3185972787?refId=JJp5OkmV6wEqXiig85BjoQ%3D%3D&trackingId=VFDwGX4geWJyZ5JCpdMHcw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,NAM Info Inc,"Position: Data AnalystWork Locations: Toronto, Ontario Day one onsite – Hybrid model (2 days a week office visit)Duration: 12 Months Contract Job Description: Data Analyst – Want hands-on with a Data Analyst person with a business analyst background. Expert in SQL is must to handle complex queries. Also person should know Kafka which is nice to have along with API, and micsro-services development background as we develop API in this team.",onsite,NaN,"Toronto, Ontario, Canada","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Contract'}, {'Job function': 'Information Technology'}, {'Industries': 'Staffing and Recruiting'}]",2022-11-08,https://ca.linkedin.com/jobs/view/data-analyst-at-nam-info-inc-3351590976?refId=JJp5OkmV6wEqXiig85BjoQ%3D%3D&trackingId=9yXEr2xUcah86R%2BSLr54Jw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Canam,"Job DescriptionYour life at CanamAre you passionate about innovation, technologies and solving business problems? Do you like challenges, working with a high volume of data and interpretation methods? You are a forward thinker and understand how numbers contribute to better decisions? If so, you are the one we are looking for in our new research and development team!As a Data Analyst, you will have a concrete impact on Canam's innovation and growth. You will be an important member of a great team and a partner in our approaches. Following the trends found by market research, you will have to do a deep analysis of the data collected to ensure its accuracy and support decision-making to answer specific questions, explore patterns and uncover insights to align our R&D efforts.The Canam BenefitsSalary ranging from $65,000 to $100,000 per year based on your work experience and qualifications Flexible schedule (35.5 hour week) for your work-life balancePossibility of teleworking so you can enjoy your renovationsBonuses based on company performance because we like to share our successGroup insurance from your first day with employer contributions (life, disability, drug, dental and travel) for peace of mindDefined contribution pension plan because we all retire one dayEmployee assistance program for when you need itAccess to a free telemedicine service because no one likes waiting at the clinicCareer movement because we all grow differentlyPartially paid gym membership because your ability to manage multiple projects will only make your brain strongerSocial activities to make you feel good and want to stay here for a long timeSocial club (parties, tournaments, outings) because we like to get together as a gang QualificationsDiploma related to the fields of IT, Marketing or MathematicsAdditional InformationCanam, an employer that makes you want to stay Since 1960, Canam has been an employer with a strong, unifying and family-oriented culture, rallying its 3,500 employees. Established in Canada, the United States, Romania, India and the Philippines, our company continues to grow thanks to the innovation and know-how of each and every one of our employees. In fact, in order to build structures that are known and recognized for their quality throughout North America, you need to feel that you have what it takes to succeed in these major projects. Proud of our accomplishments, we are here to stay, and it is with you that we want to do so.We are committed to employment equity.",onsite,NaN,"Mississauga, Ontario, Canada","[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Full-time'}, {'Job function': 'Business Development'}, {'Industries': 'Construction'}]",2022-11-18,https://ca.linkedin.com/jobs/view/data-analyst-at-canam-3362369144?refId=JJp5OkmV6wEqXiig85BjoQ%3D%3D&trackingId=Ok8z1TYkEPVfsFI1gZrIQA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Citi,"Job Id: 22544507This role is for a Data Analyst to be part of an Engineering team. The key responsibilities will include but not limited to:Identify, analyze, and interpret trends or patterns in complex data setsValidate data to identify potential issues and anomalies.Investigate data issues and find root causes, traversing back across multiple hops of data lineage.Implement/propose solutions to data issuesArticulate and present the data analysis trends/patterns to various stakeholders and facilitate the implementation of the same.Coordinating with different stakeholders to get missing information, addressing data issues and timely closures.Showcase technical expertise regarding data models, database design development, data mining and segmentation techniquesWorking extensively on both RDBMS and Distributed databases (Hadoop file system)Required Qualifications:4+ years’ experience in data focused initiatives across SDLC.Bachelor’s Degree in IT or similar4+ years analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy4+ years experience in using SQL and PL/SQL for analyzing data in relational databasesAbility to perform data analysis in distributed databasesAdept at preparing detailed & summary reports and presenting findingsTechnical expertise regarding data models, database design development, data mining and segmentation techniquesExposure to working with global teamsPassion for research and explorationBanking and Financial background is preferred.Ability to work in a team or independentlyCiti Canada is an equal opportunity employer. Accordingly, we will make accommodations to respond to the needs of people with disabilities (including, without limitation, physical and mental health disabilities) during the recruitment process and otherwise in accordance with law. Individuals who view themselves as Aboriginals, members of visible minority or racialized communities, and people with disabilities are encouraged to apply.-------------------------------------------------Job Family Group: Technology-------------------------------------------------Job Family:Business Analysis / Client Services------------------------------------------------------Time Type:Full time------------------------------------------------------Citi is an equal opportunity and affirmative action employer.Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.View the EEO Policy Statement.View the Pay Transparency Posting",onsite,NaN,"Mississauga, Ontario, Canada","[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Banking, Financial Services, and Investment Banking'}]",2022-11-15,https://ca.linkedin.com/jobs/view/data-analyst-at-citi-3263096865?refId=JJp5OkmV6wEqXiig85BjoQ%3D%3D&trackingId=ns4JheCyDMPAjcVrsbTn9Q%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,LOFT Community Services,"1 Part Time Permanent PositionDATE: November 17th, 2022LOCATION: Toronto, ON - PQICOMPENSATION: $49,000 – $61,000 (Prorated)SHIFT: 3 Days/Week LOFT Community Services is a unique and dynamic charitable organization that supports people living with complicated issues such as mental and physical health challenges, substance abuse, poverty and homelessness. Serving approximately 10,000 annually and providing 1,733 units of supportive housing last year, LOFT is one of Ontario’s largest mental health service providers of its kind. LOFT stands for Leap of Faith Together. Our employees have an opportunity to take calculated risks and lead the way in the creation, implementation and evaluation of system-wide solutions. We work hard. We care passionately. We celebrate. Our staff are the key to our success. LOFT is recognized as a Nonprofit Employer of Choice™ Award (NEOC) recipient and we believe that our LOFTy culture is at the core of everything we do.. LOFT is recognized as a Nonprofit Employer of Choice™ Award (NEOC) recipient.  To help fulfill its mission, LOFT is hiring a Data Analyst.  JOB SUMMARY: The Data Analyst will work with the other members of the Performance & Quality Improvement team to meet the internal business and reporting needs of LOFT staff, program directors, and senior management and to produce regular external reports. The individual will be involved in the maintenance of BI/reporting, analytics, and quality/performance improvement initiatives. *Note: All LOFT employees are required to be fully COVID-19 vaccinated as a condition of hire in accordance with LOFT’s Vaccination Policy. A satisfactory vulnerable sector check (VSC) is also required.*  WHAT YOU WILL DO:Deliver and maintain weekly, monthly, quarterly reporting products to various stakeholders, including compiling reports to external reporting agencies (e.g. Ontario Health).Coordinate with the Manager to execute pertinent data analysis in support of strategic business needs and decision-making process.Work with Senior Performance Analysts to identify performance gaps and establish and follow-up on action plans.Work with team members to develop new reports to turn data into actionable insights for key stakeholders.Support reporting and technology projects by participating in the requirements gathering process, extracting and analyzing data, and creating/maintaining appropriate documentation e.g. functional specifications, use cases, workflow diagrams, project charters and plans, indicator specifications, etc.Support department with the development of presentation material where required.Participate in the QA and UAT process as related to data warehouse and business intelligence report development.Work with team members to conduct data quality investigations and engage in continuous data quality improvements.    WHAT YOU WILL BRING: University degree computer science, analytics, statistics, epidemiology, health informatics, or equivalent combination of education and experience.1-2 years relevant work experience.Understanding of Ontario healthcare system, organization, policies, and data structures.Ability to manipulate and work with large data sets.Strong data visualization skills and knowledge translation skills.Experience with Microsoft Office tools including Excel, Word and PowerPoint required.Self-reliant exploring, extracting, analyzing, and presenting information with Excel (PivotTables, dashboards, etc.).A willingness to tackle complex challenges as well as routine maintenance and administrative tasks.Strong organizational skills with the ability to manage multiple tasks in parallel; strong problem-solving skills and demonstrated ability to think critically and strategically.Detail-oriented and process-driven with a demonstrated ability to consistently and effectively produce high quality work.Excellent oral and written communication skills; ability to explain complex concepts in a manner that is simple and easy to understand.Proven team player with strong interpersonal skills including ability to resolve conflicts, diplomacy, achieve consensus and able to work comfortably with staff and external stakeholders, including clinicians.Innovative thinker with the ability to develop creative solutions to complex problems.·      Experience with MS SQL and/or Microstrategy is an asset.·      Experience with Python and/or R is an asset.Experience with process mapping tools and techniques is an asset.Experience in healthcare is an asset.Understanding of cultural competency and anti-oppression framework.Reflective of a multi-barriered group, as serviced by the program, a strong asset. TO APPLY: Send resume with cover letter to Human Resources, Email: hr@loftcs.orgLOFT Community Services is committed to fostering an inclusive and accessible environment and dedicated to building a workforce that reflects the diversity of the community in which we live and serve. LOFT is committed to making employment opportunities accessible in accordance with the Accessibility for Ontarians with Disabilities Act, 2005. Requested accommodation will be provided in all parts of the application and hiring process by contacting hr@loftcs.org or (416) 979-1994.  We welcome and encourage people from equity-deserving communities and intersecting identities to apply for this position.PLEASE INCLUDE: “DATA Analyst- PQI” in the subject line of any emails. CLOSING DATE: December 9th, 2022",onsite,NaN,"Toronto, Ontario, Canada",[{'Employment type': 'Part-time'}],2022-11-17,https://ca.linkedin.com/jobs/view/data-analyst-at-loft-community-services-3364383026?refId=JJp5OkmV6wEqXiig85BjoQ%3D%3D&trackingId=RyY9CanYVO3ARhehCtgiJg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (Remote),Cognizant Microsoft Business Group,"Join a team of passionate thought leaders in a dynamic and collaborative environment! Cognizant Microsoft Business Group’s Applied Innovation team is hiring now and we’re looking for our next Data Analyst to join us.The Microsoft Business Group (MBG) is a cloud-first, full-service Microsoft partner committed to delivering innovative technology solutions that solve human challenges. We are compelled by our core values to drive transformational results for clients across all company sizes, geographies and industries. The MBG team delivers full lifecycle solutions—from project inception and planning, through deployment to ongoing support and maintenance.Why should you work at Microsoft Business Group?Multi Award Winning Business Official and Award-Winning Microsoft Partner Award Winning Databricks Partner Official GitHub Partner Cloud Native Organization Growing International and Diverse teams Hugely collaborative environment, where ideas and knowledge sharing is actively encouraged What impact will you have in this role?As a Data Analyst in the MBG, your goal will be to enable businesses to maximize the value of their data assets. You will be responsible for designing and building scalable data models, cleaning, and transforming data, and enabling advanced analytics capabilities through reports and visualizations. You will process raw data into relevant insights based on identified business requirements to deliver relevant insights.What will the Data Analyst be doing day-to-day?Commanding a strong understanding of the strategic infrastructure (preferably Azure) required to make Business Intelligence rollout a success in the business at scale Development of presales package and drive Business Intelligence and Data Modelling offering in the consultancy business Contribute to or lead large scale DW/BI projects delivering an end-to-end Data Analytics delivery for customers Data modelling capabilities including designing effective BI data models Shaping an approach for governance and deployment of DW/BI in an array of organizations Making large or complex data more accessible, understandable, and usable.Creating charts and graphs, histograms, geographical maps, and other visual models that help to explain the meaning of large volumes of data, and isolate areas of interest.Transforming, improving, and integrating data from many sources, depending on the business requirements.Combining the data result sets across multiple cloud and on-premises sourcesFinding hidden patterns using dataDelivering information in a useful and appealing way to users by creating rich graphical dashboards and reportsWhat type of experience does the Data Analyst need to be successful in this role? Being a natural leader with strong experience of end to end roll out of DW/BI solutions with a vision of how this technology can transform business Drive cultural change within businesses both externally and internally Working collaboratively internally with senior leads and with partners to deliver solutions and drive an integrated vision of DW/BI and cloud technology Embedding tangible and accessible data led change in a business. Strong understanding of Microsoft DW/BI enterprise methodologies and roll-out methodologies Strong understanding of dimensional modeling concepts – facts vs. dimensions, surrogate keys, and data granularityAbility to lead and guide discussions about conceptual, logical, and physical modellingStrong experience as a Business Intelligence developer using the Microsoft BI stack (Power BI)Expert knowledge of DAX/MDX and Analysis Services in large deployments of Power BIWorking experience of SQL including writing, debugging, and tuning T-SQL queries, creating SQL tables, views and stored procedures and a strong understanding of relational databasesExperience in designing ETL processes including knowledge of data warehousing strategies and theories Articulate and document architectural solutions and processes Establish and maintain collaborative relationships with stakeholders Knowledge of cloud computing, preferably of Azure Excellent and confident communication and presentations skillsCertifications (desirable) Exam DA-100: Analyzing Data with Microsoft Power BI or Exam PL-300: Microsoft Power BI Data AnalystDoes the Data Analyst role require travel?The role is currently 100% working from home, however some travel to our local office may be required in the future.Security ResponsibilityAll employees must act in accordance with Cognizant Microsoft Business Group’s corporate security standards.About The Cognizant Microsoft Business Group (mbg)The Cognizant Microsoft Business Group (MBG) has a singular purpose—advancing your cloud modernization journey with focus, simplicity and scale. The Microsoft Business Group is an end-to-end Microsoft-centric cloud solutions and managed services provider that leverages extensive experience and IP to deliver constant innovation and business value, powered by the Microsoft Cloud platform. We are designed to reflect how you think about cloud transformation from a platform native perspective. Our dedicated experts and trusted blueprint deliver your digital difference through the Microsoft Cloud: Azure, Microsoft 365 and Dynamics 365. We turn digital potential into real business performance at speed.Who We AreWe are the destination employer for Microsoft-committed professionals, providing depth of specialization and differentiated career paths. We have authentic conversations, build connections and grow careers while centering ourselves around our employees. We are a global team of certified consultants across all relevant technologies, coupled with cloud focused advisory consultants. With our supercharged talent, we are the world’s best Microsoft partner. We prioritize investing and expanding.EQUAL EMPLOYMENT OPPORTUNITYAs a Global Cloud Transformation Consultancy business, the Cognizant Microsoft Business Group (MBG) understands diversity and inclusion in the workplace brings benefits to our customers, our business and most importantly, our people. We are committed to being an inclusive employer and we provide equal employment opportunities to all employees and applicants for employment.The Cognizant Microsoft Business Group (MBG) prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other factors protected by federal, state or local laws. This policy applies to all terms and conditions of employment, including all aspects of the recruiting and employment life-cycle at Cognizant Microsoft Business Group (MBG).",onsite,NaN,"Toronto, Ontario, Canada","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2022-11-18,https://ca.linkedin.com/jobs/view/data-analyst-remote-at-cognizant-microsoft-business-group-3333618510?refId=JJp5OkmV6wEqXiig85BjoQ%3D%3D&trackingId=t4UihDsKPd4u3cIouVj97A%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
