Title,Company,description,onsite_remote,salary,Location,criteria,datetime,Apply
Data Analyst,ODDITY,"WHO WE AREODDITY is a consumer-tech platform built to transform the global beauty and wellness market. We build and scale digital-first brands to disrupt the offline-dominated beauty and wellness industries. We are backed by L Catterton (the largest consumer-focused PE in the world) & a selection of other top investment firms. In our third year since launch, as the fastest growing online beauty brand in the US, we became a unicorn valued at $1.5B.Our exceptional team is passionate about using technology to disrupt the way consumers shop for beauty (shifting millions of consumers from offline to online along the way) and the culture is fast-paced with the opportunity to drive a big impact. Building on the success of our first brand, IL MAKIAGE, we launched our sister prestige haircare and skincare brand SpoiledChild in early 2022.THE OPPORTUNITYOddity's BizOps team solves our toughest data-driven cross-functional problems. This is a rare opportunity to join the BizOps team and impact a fast-growing startup with high visibility into our Finance, Product, Subscription, and Customer Experience teams. As a Payments Data Analyst, you'll tackle critical data-heavy challenges to support our c-suite's decision-making in both our IL MAKIAGE and SpoiledChild brands. This role will focus on our payment systems and optimizing our payment success.You should be a jack-of-all-trades who can mix data analytics, business strategy, and roll-up-your-sleeves execution to bring a project to life. You will collect, sanitize, analyze, and synthesize data; apply critical thinking & communications skills to make actionable recommendations; and drive those recommendations through to execution. You are a clear, confident communicator who loves taking a complicated problem, decomposing it, and building a compelling business case.You'll be exposed to both the minute details of how the business operates and also the high-level strategy that is used to guide decision-making. You'll have the opportunity to impact product and strategy decisions from Day 1 and will report to the Senior Manager, BizOps with regular exposure to our senior leadership.WHAT YOU’LL DOOngoingLeverage a wide range of analytics platforms, including Looker (SQL), Alteryx, and Excel to conduct complex analyses for senior stakeholdersDevelop a detailed understanding of our payment infrastructure and capabilities, understand the drivers of our payment success and costs, questioning and investigating any changes, summarizing insights, and proposing next stepsConstantly monitor KPIs, building dashboards and proactively identifying and flagging potential issues and opportunitiesDevelop a relationship with all our key payment partners, partnering on new technologies that will allow us to improve our payment processing furtherProject-BasedOwn the complete lifecycle of complex payments projects, from identifying opportunities in the raw data to drawing up a plan of action, executing and tracking the resultsOwn payments related A/B testing across multiple departments, leading development with our engineers, to determining customer service impact with our CX teamPartner with finance and other teams to develop scenario-based what-if models, forecasting the potential impact of new payment structures, highlighting the bottom line P&L impactsWHO YOU AREYou are fluent with both Excel and SQL (and similar data analysis languages such as R or Python - optional) and are comfortable building complex models and analyticsYou have experience in a highly analytical role including in data analytics, consulting, banking, private equity, corporate strategy, or similar roles (hiring from 0 to 2+ years experience, new grad applications graduating Dec 2022 welcome)You have an eye for detail and consider yourself a hard worker with a high level of accountabilityYou are resourceful and a self-starter, with the ability to tackle large unstructured tasks independentlyYou have polished communication skills and are comfortable working directly with senior leadership, focusing on the key takeawaysADDITIONAL INFORMATIONThis position is hiring for an immediate startThis position will consider and sponsor candidates on a visa (OPT, STEM OPT, H1B)This position is in-office in our SoHo, New York, officeThe anticipated hiring base salary range for this role is $60,000 to $90,000 depending on factors such as the skills, qualifications, and experience of the applicant",onsite,NaN,"New York, NY",[{'Employment type': 'Full-time'}],2022-11-09,https://www.linkedin.com/jobs/view/data-analyst-at-oddity-3343579553?refId=1T3eOE04Rc%2Bg49MTD3We0g%3D%3D&trackingId=Q260xH1kVrDYYqEgs4LQbA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
"Data Analyst, Money",SoFi,"Employee Applicant Privacy NoticeWho we are:Shape a brighter financial future with us.Together with our members, we’re changing the way people think about and interact with personal finance.We’re a next-generation fintech company using innovative, mobile-first technology to help our millions of members reach their goals. The industry is going through an unprecedented transformation, and we’re at the forefront. We’re proud to come to work every day knowing that what we do has a direct impact on people’s lives, with our core values guiding us every step of the way. Join us to invest in yourself, your career, and the financial world.The RoleWe are seeking a Data Analyst who will help shape business strategy through data-driven insights. This is an exciting role for someone to make a direct impact on new product strategy and revenue of SoFi. Success in this role hinges on your technical aptitude, quantitative abilities, and business acumen: you know how to plow through data with SQL, surface insights using Tableau, and measure the business impact using efficiency/conversion metrics. You treat stakeholders as a partnership – you are there at each step of the way and you know that we only succeed if we succeed together.What you’ll do:Develop expertise in leveraging our SoFi Money and Credit Card data to answer business questions and develop insightful analysis.Design streamlined, thoughtful, scalable, and reliable reporting and develop ownership of our Tableau dashboard space to help track key metrics and empower the team with data to inform business decisions.Build SQL queries or Python code to delve into SoFi’s data and answer questions about our members’ behavior. Identify trends to inform cohort-targeted initiatives that drive positive business outcomes.Collaborate closely with cross-functional partners (such as Product, Finance, and Marketing) to understand their needs and translate them into actionable insights, reporting, and recommendations.Work with our stakeholders on marketing campaigns, business investigations, and independent analysis to drive understanding and improvements of our product and business.Build models to help decision makers understand customer behaviors and segmentation.What you’ll need:BA/BS Degree required1-3 years’ experience in an analytics position or equivalentExperience with Tableau or similar data visualization toolProficient with SQLAbility to meet deliverables under tight deadlinesAbility to work independently, and a strong sense of ownershipProven experience analyzing, interpreting, and summarizing complex data (ideally related to financial services)Ability to work in a dynamic, cross-functional environment, with a strong attention to detailEffective communication and presentation skills and ability to explain complex analyses in simple terms to stakeholdersStrong relationship building and collaborative skillsExceptional problem-solving skillsNice to Have:Experience with PythonWhy you’ll love working here:Competitive salary packages and bonusesComprehensive medical, dental, vision and life insurance benefitsGenerous vacation and holidaysPaid parental leave for eligible employees401(k) and education on retirement planningTuition reimbursement on approved programsMonthly contribution up to $200 to help you pay off your student loansGreat health & well-being benefits including: telehealth parental support, subsidized gym programThese benefits are only applicable to full time employeesCompensation And BenefitsThe base pay range for this role is listed below. Final base pay offer will be determined based on individual factors such as the candidate’s experience, skills, and location.To view all of our comprehensive and competitive benefits, visit our Benefits at SoFi page!SoFi provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion (including religious dress and grooming practices), sex (including pregnancy, childbirth and related medical conditions, breastfeeding, and conditions related to breastfeeding), gender, gender identity, gender expression, national origin, ancestry, age (40 or over), physical or medical disability, medical condition, marital status, registered domestic partner status, sexual orientation, genetic information, military and/or veteran status, or any other basis prohibited by applicable state or federal law.Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.New York applicants: Notice of Employee RightsSoFi is committed to embracing diversity. As part of this commitment, SoFi offers reasonable accommodations to candidates with physical or mental disabilities. If you need accommodations to participate in the job application or interview process, please let your recruiter know or email accommodations@sofi.com.Due to insurance coverage issues, we are unable to accommodate remote work from Hawaii or Alaska at this time.",onsite,NaN,"San Francisco, CA","[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Financial Services'}]",2022-11-15,https://www.linkedin.com/jobs/view/data-analyst-money-at-sofi-3361427029?refId=1T3eOE04Rc%2Bg49MTD3We0g%3D%3D&trackingId=u%2FyR6lf%2BPOvQcrFwFF%2BsGQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,MicroHealth,"MicroHealth is seeking a Data Analyst to support our project in Vienna, VA. Functional Responsibilities:Performs daily quality checks of HHS protect line data. Provides ad-hoc analysis as needed. Examples of this has included validating missing data from previous years and refine calculation of % positivity. Maintain existing data repositories related to ICATT test volume and budget. Update backing analyses as needed to reflect changes in the underlying data or programmatic changes.Maintain existing dashboards related to ICATT testing at the U.S. southern border. Update backend analyses as needed to reflect changes in the underlying data or programmatic changes. Assist data team in implementing changes to other analyses on an ad-hoc basis.Assist in generation and distribution of regularly-provided reports to states and local jurisdictions.Position Requirements/Qualifications:Bachelors degree 2-4 years of experience Experience with Palantir Foundry, especially Contour.Experience with R required, SQL preferred. Professional knowledge of data management activities and best practicesAbility to provide analytical analysis using standard software packagesAbility to navigate in changing environments and make decisions with incomplete dataProject management, organizational skillsPhysical Demands:While performing the duties of this job, the employee is regularly required to sit. The employee frequently is required to walk; use hands to finger, handle or feel; reach with hands and arms; and talk or hear. The employee is occasionally required to stand. The employee may lift or move objects up to 5 pounds. Specific vision abilities required by this job include close vision, distance vision, color vision, and ability to adjust focus.MicroHealth will recruit, hire, train, and promote persons in all job titles, and ensure that all other personnel actions are administered without regard to race, color, religion, sex, sexual orientation, gender identity, genetic information, national origin, disability, or status as a protected veteran and ensure that all employment decisions are based only on valid job requirements.All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.If you need a reasonable accommodation due to a disability for any part of the employment process, please send an e-mail to hr@microhealthllc.com with your request and contact information.Powered by JazzHReBc3YbdzvM",onsite,NaN,"Vienna, VA","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2022-11-07,https://www.linkedin.com/jobs/view/data-analyst-at-microhealth-3350172204?refId=1T3eOE04Rc%2Bg49MTD3We0g%3D%3D&trackingId=ji5Fj9csNlx0L3eL58XjeA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,fluent360,"We are looking to hire a Data Analyst to join our data and analytics team. This role will be responsible for managing the timeline for our analytics initiatives, developing reports, and troubleshooting data issues. This role requires a very fine eye for detail, experience working with data and numbers, understanding of data and reporting tools, and a heightened sense of accountability.What You Will DoHelp develop reports as requested by analytics leadership, account leads, and client partners.Work closely with planning, research, and media functions to solve data-oriented problems.Manage and design the reporting environment, including data sources, security, and metadata.Perform quantitative research on multicultural advertising audiences.Maintain a database of department outputs and reports.Develop proficiency in the field of marketing analytics, our clients’ data partnerships, and the multicultural advertising landscape.Your Experience Bachelor’s degree from an accredited university or college in statistics, analytics, business, or related disciplines 2+ years work experience in a data-oriented environment Ability to work with stakeholders to assess needs and propose solutions Ability to work independently and accountably Ability to translate statistical results into non-technical, lay terms and explain implications Demonstrated experience in working with large amounts of data Exhibit a detail-oriented approach which balances speed and accuracy Willingness to learn by doing Willingness to propose their own solutions to complex data problems Proficiency in MS Office Suite Interest in the multicultural advertising industry High-level written and verbal communication skillsAbout Usfluent360™ is one of the foremost agency leaders shaping the multicultural marketing industry. Equal parts integrated marketing agency and cultural hub, we specialize in giving brands a resonating voice to effectively speak to various cultural segments– both ethnic and consumer niche followings. As a multi-talented, multicultural agency, we offer a full spectrum of communication services. Find out more about us at fluent360.comAgency Benefits & Perksfluent360 offers a comprehensive benefit package including medical, dental and vision insurance, company paid life/AD&D, short-term and long-term disability, and a generous PTO and sick leave policy. In addition, we have some amazing agency perks including paid gym membership, summer hours, 14 paid holidays, and flexible schedules.fluent360 is an Equal Opportunity Employer, EEO, AAE, MF/Disability/Vet.Our organization participates in E-Verify. For more information visit . E-Verify is an Internet-based system that compares information from an employee’s Form I-9, Employment Eligibility Verification, to data from U.S. Department of Homeland Security and Social Security Administration records to confirm employment eligibility.Powered by JazzHR1ZCxXHufQ2",onsite,NaN,"Chicago, IL","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Advertising Services'}]",2022-11-15,https://www.linkedin.com/jobs/view/data-analyst-at-fluent360-3361802094?refId=1T3eOE04Rc%2Bg49MTD3We0g%3D%3D&trackingId=U6k3uV4h8pnyqwlzktbt9A%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,GoTo,"Job DescriptionWhere you’ll work: Remotely within the United States. _This position may not be performed, in whole or in part, in NYC (whether in an office, the field or remotely from the candidate’s home.)_Sales at LastPassWhen you join our sales team, you’re showing people that their world can be as accessible as it is secure. You’ll be empowering businesses to move confidently and securely, with less effort and more peace of mind.Your Day to DayAs Data Analyst You Would Be Working OnSupport operations for LastPass as they transition away from GoTo to their own world-class sales organizationTransferring data into a new format to make it more appropriate for analysisCreating new, experimental frameworks to collect dataBuilding tools to automate data collectionSearching through large data sets for usable informationCorrelating similar data to find actionable resultsUsing automated tools to extract data from primary and secondary sourcesRemoving corrupted data and fixing coding errors and related problemsPreparing final analysis reports for the stakeholders to understand the data-analysis steps, enabling them to take important decisions based on various facts and trends.Preparing reports for the management stating trends, patterns, and predictions using relevant dataWhat We’re Looking ForAs a Data Analyst, your background will look like:3+ years prior experience in business operations, analytics, management consulting, finance, marketing, or market research preferredExceptional quantitative and data analysis skills with proficiency in Excel, PowerBI, t-SQL, SalesforceExceptional verbal and written communication skills, especially the ability to make persuasive arguments and tell compelling stories using dataAbility to build partnerships throughout the organization and present to senior executivesSelf-motivated, takes clear ownership and initiative, and knows when to seek guidanceFlexible and adaptable to changing priorities, capacity to manage multiple prioritiesHelping millions around the world organize their online lives, LastPass, is an award-winning password manager that makes going online easier and safer. We help customers securely accomplish the things that matter with less effort and more peace of mind.GoTo’s flexible-work software – including GoTo Connect, GoTo Resolve, Rescue, Central, and more – is built for small and medium-sized business IT departments, but powerful enough for the enterprise. By building its secure, easy-to-use software, GoTo is committed to ensuring the time at work is well-spent so that time outside of work is better spent. With over 3,000 global employees and over $1 billion in annual revenue, the remote-centric company’s physical headquarters is in Boston, Massachusetts, with additional offices and thousands of home offices in North America, South America, Europe, Asia, Australia, and beyond.LogMeIn, Inc. is committed to providing equal opportunity in employment to all employees and applicants for employment. No employee or applicant shall be discriminated against in the terms and conditions of employment on the basis of race, color, religious creed, gender, sex, pregnancy, religion, marital or domestic partner status, age, national origin, ancestry, physical or mental disability (including AIDS/HIV), medical condition, sexual orientation, gender identity, gender expression, genetic information, military and veteran status, application for or denial of family and medical care leave and/or pregnancy disability leave, or any other basis protected by federal, state or local law or ordinance or regulation. LogMeIn, Inc. also prohibits discrimination based on the perception that anyone has one of these characteristics or is associated with a person who has or who is perceived as having any of those characteristics.Each officer, manager, and employee is expected to support, cooperate with, and carry out this policy. Any employee who believes he or she has been the victim of employment discrimination, or has witnessed discrimination in the workplace based on any of these factors should report the matter immediately to Human Resources.",onsite,NaN,"Boston, MA","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Software Development'}]",2022-11-20,https://www.linkedin.com/jobs/view/data-analyst-at-goto-3368257665?refId=1T3eOE04Rc%2Bg49MTD3We0g%3D%3D&trackingId=OJF8rriedmnGtnMnnSDF%2Fg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,GSI,"Data AnalystReports to Finance DirectorCompany, A consumer company in Nashville is hiring for a talented Data Analyst to join their team. This is an opportunity to join a fast-growing profitable Private Equity backed company looking to go public and who offers lots of career growth, opportunities to learn, with amazing values and benefits…The Job: Supporting retail operations the Data Analyst will play an integral role in operational-related decisions by executing data analyses from customer database, analyzing & interpreting the data, and providing data-driven insights and recommendations. This position helps guide decisions on operational efficiencies, opportunities to engage customers and increase location profitability.Provide data-driven insights and analysis to influence operational strategiesDevelop dashboards by understanding business needs. Interpret and translate data into usable visualizations to drive business decisionsManage and support reporting and analysis including KPIs, performance dashboards and store operation trackers, etc.Review data to identify key trends for location operations performance, service performance, utilization, customer demographics /segmentation.Qualifications:Bachelor's degree in Business2+ years of data mining, statistical analysis, and modelingShould live in the Nashville Metro AreaExperience in building reports, dashboards through tools such as Microsoft Excel, TableauAn intermediate understanding of SQL preferredHighly proficient Microsoft Office skills (including Excel modeling)Green Card or US Citizenship (required)",onsite,"$75,000.00
            -
            $100,000.00","Nashville, TN","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Consumer Services and Retail'}]",2022-11-14,https://www.linkedin.com/jobs/view/data-analyst-at-gsi-3360311008?refId=1T3eOE04Rc%2Bg49MTD3We0g%3D%3D&trackingId=0U7Jm4SHGPA15Q5DYs9SEg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Motley Rice,"SUMMARY: The Data Analyst helps the firm run its portfolio monitoring service for our institutional investor clients to recover funds lost as a result of fraud in the public markets. Job duties include formatting trade data in Excel, data analysis and reporting, correspondence with external settlement administrators and Accounting, and maintaining accurate records. MINIMUM REQUIREMENTS:Degree in Business, Economics, Finance, Business Analytics, Data Science, or a related field or equivalent work experienceAdvanced Excel skills, including proficiency in manipulating data and using formulas (Index-Match, If, etc.) and PivotTables.Strong organizational and time management skills and ability to maintain detailed recordsFamiliarity with, or interest in learning about, publicly traded investment instruments, public markets, and corporate actionsPlusses:Experience with business analytics or data analysis tools and concepts (e.g., Power BI, Tableau, SQL)Experience with financial research tools (e.g., Bloomberg Terminal, Refinitiv Thomson ONE) ESSENTIAL DUTIES & RESPONSIBILITIES: “Essential duties” are primary job duties that incumbents must be able to perform unassisted or with some reasonable accommodation made by the employer.  Format equity and bond trade data from financial institutionsAnalyze trade data including calculation of client losses in settlements and newly filed litigationRead and interpret notices from settlement claims administrators and follow instructions on formatting and submitting claimsMonitor deadlines, complete work on time, and maintain detailed recordsDraft correspondence to clients requesting required information; monitor e-mail from external claims administrators and take appropriate action, including responding to claims deficiency notices and updating recordsCalculate settlement claim disbursement amounts for clients and coordinate with Accounting to disburse fundsPrepare reports periodically or upon request using Excel or other data tools WORKING HOURS:Work may require more than 40 hours per week to perform the duties of the position.  WORKING CONDITIONS:Work is performed in a normal heated or air-conditioned office environment. The above is intended to describe the general content of and requirements for the performance of this job. It is not to be construed as an exhaustive statement of essential functions, responsibilities or requirements.This job description must not be misconstrued as a promise of employment, nor deemed as an employment contract. Motley Rice LLC is an equal opportunity employer. We participate in e-verify.",onsite,NaN,"Mount Pleasant, SC",[{'Employment type': 'Full-time'}],2022-11-15,https://www.linkedin.com/jobs/view/data-analyst-at-motley-rice-3354985380?refId=1T3eOE04Rc%2Bg49MTD3We0g%3D%3D&trackingId=%2BsGS1I6pTsCmHmY4HZbAWQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,PayPal,"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.Job Description Summary:What you need to know about the role - We’re looking for a Risk Analyst to join the team and help in our efforts to manage our global seller risk strategy. You will work on the complex task of keeping fraudsters and bad actors away from PayPal’s platform. If you’re looking to make an impact at the red-hot intersection of e-Commerce, online payment and financial risk management, you’re at the right place. Meet our team The PayPal Seller Risk team is responsible for keeping the PayPal platform safe and secure and delivering a satisfactory experience for both the sellers and buyers. This is an exciting, fast paced team where the contribution by team members can significantly impact PayPal’s bottom line as well as our customers’ experience.Job Description:Your way to impactRisk Data Analysts apply their analytical and technical skills into researching data, monitoring and creating logics that stop fraudulent activity on PayPal’s platform. They analyze existing loss trends and define logics, solutions and operational processes that prevent them - while delivering best-in-class customer experience for PayPal users.Risk Data Analysts work closely with one another, and with Risk Operations in order to keep learning about current fraud. They also partner closely with PayPal Product teams to define features and integrate risk prevention tools to support business goals.Our team members are excited about solving analytical problems. They are bright, they are responsible, and they know how to follow through. If you’re also like that, we’d love to hear from you.Your day to dayFight fraudulent activity in one’s domain of ownership by analyzing existing loss trends through review of specific cases, research on our payments database and incorporation of feedback from operations teams.Based on data-driven analysis, formulating risk solutions to ensure optimal balance between user experience, business enablement, operational expense and loss exposure related to proposed solutionsWork closely with product teams on development of new products to identify potential gaps that might create loss, and define requirements to mitigate those risks. Have a good understanding of general business trends and directions to be able to put own work in the broad business context.Work with various partners within PayPal to coordinate the execution of fraud mitigation solutions.Demonstrate flexibility that is needed to succeed within a matrix organization while being proactive and comfortable with working alongside stakeholders from different domains.Develop controls and monitoring dashboards to ensure performance against business goal, regulatory requirements and business priorities.What Do You Need To Bring-Proficiency in SQL and ExcelProficiency in at least one statistical analysis tool: SAS / R / Python/ HadoopStrong analytical skills: ability to build quick estimates using back-of-the-envelope analysis, structure (and, if needed, execute) more complex analyses, pull together business cases, navigate multidimensional sets of tradeoffs. Above all, the job calls for comfort with data – ability to manipulate it, question its validity, interpret it, and develop recommendations based on itStrong written, oral, and interpersonal skills, including the ability to explain and/or present analysisDedicated, proactive, curious and eager to learn new approaches / methodologies – a mustOur Benefits:At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you.We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.comWho We Are:To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspxPayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make financial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com.PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com.As part of PayPal’s commitment to employees’ health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated.REQ ID R0096181",onsite,NaN,"Annapolis, MD","[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Software Development, Technology, Information and Internet, and Financial Services'}]",2022-11-16,https://www.linkedin.com/jobs/view/data-analyst-at-paypal-3357037326?refId=1T3eOE04Rc%2Bg49MTD3We0g%3D%3D&trackingId=CdrMb0RUjRi2wGO6T9LrDg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Surge Staffing,"Data Analyst interprets data and turns it into information which can offer ways to improve a business, thus affecting business decisions. Data Analysts gather information from various sources and interpret patterns and trends. Once data has been gathered and interpreted, the Data Analyst will report back what has been found in a comprehensive study to the wider business/relevant colleagues.This is a full-time (Monday - Friday) On-Site position that is located at our headquarters office in Columbus, Ohio at 4 Easton Oval.Surge is a national leader with over 50 years of experience providing quality staffing and innovative workforce solutions. We take priority in building personal, long-term partnerships with our clients, and ensuring that each placement is the right fit. We are unlike other staffing agencies in that we take the time to get to know your company and its goals. Our national network has connected more than 122,000 employees on an annual basis and growing.Primary FunctionsConsolidating and analyzing various types of data, taking into account company's goals and financial standingProviding creative alternatives and recommendations to reduce costs and improve performanceAssembling and summarizing data to structure sophisticated reportsSupport the development of organizational goals by contributing information, analysis, and recommendations to strategic thinking, establishing functional objectives in line with organizational objectivesSupports the establishment of strategies by evaluating trends; establishing critical measurements; determining production, productivity, quality, and customer-service strategies; designing systems; accumulating resources; resolving problems; implementing changeSupport the development organization prospects by studying trends and revenue opportunities; projecting acquisition and expansion prospects; analyzing organization operations; identifying opportunities for improvement, cost reduction, and systems enhancement; accumulating capital to fund expensesAdditional duties as assigned including general excel work and reportingQualificationsA bachelor's degree in Mathematics, Computer Science, Statistics or Economics and/or equivalent work experience2-3 years of analyzing datasets and comprehensive reportingData Visualization skills preferredExcel skills required (intermediate or higher level)SQL skills requiredMicrosoft SQL Server Management Studio experience preferredData collection, data mapping, and relational database experience strongly recommendedAbility to analyze large datasetsStrong verbal and written skillsAn analytical mind and inclination for problem solvingAttention to detailDefining new data collection, analysis, and streamlining processesAbility to develop (i.e., through teaching, training, e) the professional skills of employees strongly recommendedQualifications ContinuedAbility to analyze and evaluate people, data, and things to determine courses of action1-2 years direct hire recruiting experience strongly recommended.Ability to effectively and tactfully deal with peopleAbility to shift back and forth between two or more tasksAbility to understand and accurately apply basic math skillsAbility to make competent use of work-related equipment and materialsAbility to access areas where needed people, information or equipment are locatedAbility to produce results within an instructional environment and have the flexibility to identify and respond to changes in prioritiesEqual Opportunity EmployerSurge is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, disability, age, sexual orientation, national origin, veteran status, genetic information, or any other status protected by law. Surge is committed to providing access, equal opportunity and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities.Surge is a national leader with over 50 years of experience providing quality staffing and innovative workforce solutions. We take priority in building personal, long-term partnerships with our clients, and ensuring that each placement is the right fit. We are unlike other staffing agencies in that we take the time to get to know your company and its goals. Our national network has connected more than 122,000 employees on an annual basis and growing.",onsite,NaN,"Columbus, OH","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Staffing and Recruiting'}]",2022-11-11,https://www.linkedin.com/jobs/view/data-analyst-at-surge-staffing-3356470931?refId=1T3eOE04Rc%2Bg49MTD3We0g%3D%3D&trackingId=ycxK29Eeu4DgKMs47Sr60A%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Surge Staffing,"SUMMARYData Analyst interprets data and turns it into information which can offer ways to improve a business, thus affecting business decisions. Data Analysts gather information from various sources and interpret patterns and trends. Once data has been gathered and interpreted, the Data Analyst will report back what has been found in a comprehensive study to the wider business/relevant colleagues.This is a full-time (Monday - Friday) On-Site position that is located at our headquarters office in Columbus, Ohio at 4 Easton Oval.Surge is a national leader with over 50 years of experience providing quality staffing and innovative workforce solutions. We take priority in building personal, long-term partnerships with our clients, and ensuring that each placement is the right fit. We are unlike other staffing agencies in that we take the time to get to know your company and its goals. Our national network has connected more than 122,000 employees on an annual basis and growing.PRIMARY FUNCTIONS:Consolidating and analyzing various types of data, taking into account company's goals and financial standingProviding creative alternatives and recommendations to reduce costs and improve performanceAssembling and summarizing data to structure sophisticated reportsSupport the development of organizational goals by contributing information, analysis, and recommendations to strategic thinking, establishing functional objectives in line with organizational objectivesSupports the establishment of strategies by evaluating trends; establishing critical measurements; determining production, productivity, quality, and customer-service strategies; designing systems; accumulating resources; resolving problems; implementing changeSupport the development organization prospects by studying trends and revenue opportunities; projecting acquisition and expansion prospects; analyzing organization operations; identifying opportunities for improvement, cost reduction, and systems enhancement; accumulating capital to fund expensesAdditional duties as assigned including general excel work and reportingQUALIFICATIONS:A bachelor's degree in Mathematics, Computer Science, Statistics or Economics and/or equivalent work experience2-3 years of analyzing datasets and comprehensive reportingData Visualization skills preferredExcel skills required (intermediate or higher level)Microsoft SQL Server Management Studio experience preferredData collection, data mapping, and relational database experience strongly recommendedAbility to analyze large datasetsStrong verbal and written skillsAn analytical mind and inclination for problem solvingAttention to detailDefining new data collection, analysis, and streamlining processesAbility to develop (i.e., through teaching, training, e) the professional skills of employees strongly recommendedQUALIFICATIONS CONTINUED:Ability to analyze and evaluate people, data, and things to determine courses of action1-2 years direct hire recruiting experience strongly recommended.Ability to effectively and tactfully deal with peopleAbility to shift back and forth between two or more tasksAbility to understand and accurately apply basic math skillsAbility to make competent use of work-related equipment and materialsAbility to access areas where needed people, information or equipment are locatedAbility to produce results within an instructional environment and have the flexibility to identify and respond to changes in prioritiesEqual Opportunity EmployerSurge is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, disability, age, sexual orientation, national origin, veteran status, genetic information, or any other status protected by law. Surge is committed to providing access, equal opportunity and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities. To request reasonable accommodation, contact Human Resources at ProfessionalStaffing@surgestaffing.com.IND1Job Type: Full-time",onsite,"$50,000.00
            -
            $75,000.00","Columbus, Ohio Metropolitan Area","[{'Seniority level': 'Associate'}, {'Employment type': 'Full-time'}, {'Job function': 'Marketing and Sales'}, {'Industries': 'Staffing and Recruiting'}]",2022-11-09,https://www.linkedin.com/jobs/view/data-analyst-at-surge-staffing-3352892932?refId=1T3eOE04Rc%2Bg49MTD3We0g%3D%3D&trackingId=hop1aQh5snXa6PeHW2IKow%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
